class,u,g,r,i,z,redshift
STAR,19.47406,17.0424,15.94699,15.50342,15.22531,-8.96E-06
STAR,18.6628,17.21449,16.67637,16.48922,16.3915,-5.49E-05
GALAXY,19.38298,18.19169,17.47428,17.08732,16.80125,0.1231112
STAR,17.76536,16.60272,16.16116,15.98233,15.90438,-0.000110616
STAR,17.55025,16.26342,16.43869,16.55492,16.61326,0.000590357
STAR,19.43133,18.46779,18.16451,18.01475,18.04155,0.000314603
GALAXY,19.38322,17.88995,17.10537,16.66393,16.36955,0.1002423
STAR,18.97993,17.84496,17.38022,17.20673,17.07071,0.000314848
STAR,17.90616,16.97172,16.67541,16.53776,16.47596,8.91E-05
GALAXY,18.67249,17.71375,17.49362,17.28284,17.22644,0.04050813
STAR,19.29772,17.80227,17.18266,16.92335,16.79928,-3.46E-05
STAR,18.83307,17.51785,16.94273,16.71418,16.60521,0.000622774
STAR,19.5625,18.19113,17.65759,17.47573,17.39203,5.47E-05
STAR,19.5799,17.72815,16.9874,16.68076,16.50426,8.30E-06
GALAXY,19.25667,17.54869,16.63578,16.14922,15.76639,0.07208736
QSO,18.73832,18.60962,18.39696,18.31174,17.97663,0.2719369
STAR,19.05958,18.09512,17.92766,17.8927,17.90772,0.000209974
QSO,19.22143,19.30248,19.13823,19.11351,19.23454,1.178098
STAR,19.04397,17.51106,16.87335,16.61114,16.48303,0.000240098
GALAXY,17.81661,16.86976,16.53884,16.19576,16.08668,0.07277206
STAR,19.3932,18.48274,18.16551,18.05122,18.04328,-0.000270218
STAR,17.51339,16.41793,16.06695,15.93751,15.89478,-3.55E-05
QSO,19.07731,18.64518,18.49678,18.52677,18.45765,0.9251733
STAR,18.63032,17.23437,16.72749,16.51772,16.44039,4.31E-06
STAR,19.21684,18.29956,18.19589,18.14758,18.26658,8.80E-05
GALAXY,19.4127,17.47109,16.4987,16.06502,15.66848,0.1167829
GALAXY,18.48543,17.339,16.90179,16.66712,16.48684,0.02129653
STAR,17.72835,16.19783,15.66073,15.51586,15.43615,0.000175365
STAR,17.70824,16.61069,16.19772,16.0625,16.00229,0.00017238
STAR,18.18974,17.23738,16.89113,16.75727,16.71052,0.000519808
GALAXY,19.0764,17.78953,16.98818,16.60519,16.27859,0.1169446
GALAXY,19.18013,18.07133,17.71771,17.48797,17.55667,0.06807999
STAR,18.38848,17.00188,16.37884,16.16978,16.0124,0.000135947
STAR,17.93407,16.64581,16.22206,16.07029,16.06046,0.000158087
STAR,19.03059,18.10673,17.82561,17.71227,17.6878,-0.000167378
STAR,18.12978,17.17421,16.75108,16.5884,16.48527,0.000692428
STAR,18.15079,16.77761,16.2215,16.02345,15.91957,0.000304361
GALAXY,19.52092,17.58562,16.4269,15.94473,15.56269,0.1506381
STAR,18.90592,17.46608,16.85369,16.58687,16.41878,0.00057828
STAR,17.7019,16.76073,16.48746,16.38173,16.33654,0.000704736
STAR,18.85351,17.97745,17.6112,17.45679,17.40576,-0.000676195
STAR,18.75478,17.58247,17.08046,16.87063,16.75911,-0.000503256
STAR,18.33616,17.30684,16.92903,16.78272,16.73807,7.61E-05
GALAXY,19.1713,18.01316,17.42493,17.04493,16.82237,0.1183854
GALAXY,19.12083,17.92189,17.18494,16.7895,16.52258,0.1575296
QSO,17.55001,17.42367,17.35734,17.19343,16.97589,2.044347
STAR,18.89707,18.04519,17.7501,17.6378,17.6124,0.000250291
GALAXY,19.48347,17.51522,16.31651,15.83499,15.4368,0.1585163
STAR,19.31764,18.38629,18.12009,17.9998,17.93916,0.000576704
STAR,17.964,16.39632,15.74191,15.4828,15.32453,0.000349798
STAR,19.19383,18.20278,17.90109,17.77634,17.74759,-0.000256492
GALAXY,19.19752,18.07471,17.76889,17.6148,17.49577,0.02335118
GALAXY,19.26627,18.16093,17.59907,17.2172,17.06311,0.1236402
GALAXY,19.38251,17.92302,17.11018,16.66492,16.34558,0.1141676
STAR,19.48702,18.51823,18.18637,18.06704,18.05865,0.000790241
GALAXY,19.2634,17.67693,16.82551,16.42307,16.13864,0.1330486
GALAXY,19.31866,18.27407,17.74884,17.41618,17.24165,0.07470067
STAR,18.73682,17.65075,17.23958,17.07875,17.03255,0.000106767
GALAXY,19.29416,17.97134,17.26079,16.86013,16.56031,0.08692535
GALAXY,19.48611,17.93822,17.21548,16.82853,16.53911,0.1335348
GALAXY,19.31804,17.30973,16.17525,15.69015,15.31261,0.1370104
GALAXY,19.29157,17.3125,16.17862,15.70898,15.31378,0.1373722
QSO,19.52565,19.29625,18.95885,18.52108,18.57694,0.1346428
GALAXY,19.38467,18.59734,18.12431,17.74761,17.63823,0.1321922
GALAXY,18.27173,17.0717,16.65145,16.39055,16.27766,0.03641907
GALAXY,19.10892,17.76311,16.91794,16.47233,16.19134,0.1383506
STAR,17.78707,16.12342,15.48934,15.2674,15.14027,0.000149526
STAR,17.54073,15.83706,15.15225,14.91498,14.82364,0.000236645
STAR,18.44119,17.54684,17.27727,17.1878,17.20361,-0.000114203
STAR,19.13281,17.80045,17.2643,17.07242,16.98861,0.000186468
STAR,19.42387,18.24594,18.31933,18.40867,18.52614,0.000830783
STAR,17.95812,16.9013,16.52805,16.39926,16.37399,-7.66E-05
STAR,16.344,14.85487,14.29812,14.12055,14.08315,-4.79E-05
GALAXY,19.34314,18.12056,17.55584,17.19446,16.9961,0.08592108
STAR,17.73398,16.84657,16.57527,16.48237,16.4738,0.000700168
GALAXY,17.37104,15.78487,14.98982,14.58674,14.25872,0.03910941
GALAXY,19.51073,18.05851,17.59638,17.33996,17.29404,0.03917867
GALAXY,19.44424,18.23033,17.64066,17.2346,17.04825,0.1273446
GALAXY,19.11186,17.90859,17.40774,17.19731,17.05761,0.0190457
GALAXY,18.6673,16.70426,15.81967,15.40313,15.06115,0.05955937
STAR,19.04517,17.87662,17.49664,17.37287,17.33316,6.10E-05
GALAXY,17.94459,16.51015,15.8354,15.40969,15.10252,0.06012432
STAR,17.3725,16.25937,15.88727,15.75644,15.71021,-0.000187248
STAR,16.45379,15.02962,14.56318,14.40143,14.359,-4.96E-05
STAR,19.26927,18.24939,17.96535,17.83665,17.80351,0.000899142
STAR,17.8271,16.23793,15.67866,15.49427,15.41664,-7.84E-05
STAR,17.88776,16.52607,16.03367,15.85057,15.80518,0.000107983
GALAXY,19.58396,17.64963,16.73063,16.29203,15.94702,0.06164807
GALAXY,18.1781,16.13568,15.28753,14.89827,14.56479,0.06063098
GALAXY,18.38625,16.39808,15.40492,14.88012,14.50048,0.06067357
GALAXY,18.77188,17.15955,16.35564,15.94145,15.65799,0.0603932
STAR,16.63374,15.54072,15.18744,15.06259,15.03905,0.000450099
STAR,17.14849,15.83151,15.35753,15.18887,15.12737,0.000161562
STAR,16.23113,15.20485,14.95443,14.8674,14.86301,-0.000111743
STAR,18.56268,17.14623,16.5559,16.29699,16.157,0.000657249
STAR,17.47383,16.41803,16.07634,15.96205,15.90247,-0.000287019
GALAXY,19.38031,18.07652,17.34212,16.86341,16.50079,0.08483262
GALAXY,19.05616,17.70945,16.99192,16.54076,16.26619,0.08539017
GALAXY,18.95158,17.47266,16.70008,16.29777,15.99012,0.1161265
GALAXY,19.11236,17.92701,17.42347,17.0868,16.83476,0.03869415
GALAXY,18.86752,17.33773,16.80683,16.55789,16.38996,0.02655639
STAR,18.95785,18.08318,17.78178,17.65689,17.61821,0.00088935
STAR,17.80041,16.46003,15.90095,15.66963,15.53772,0.000386423
STAR,18.76266,17.25724,16.68513,16.47563,16.38993,0.00018398
STAR,16.82701,15.30022,14.73089,14.5436,14.44859,3.98E-05
STAR,19.01558,17.72445,17.18152,16.97813,16.85652,0.000365554
QSO,17.72604,17.4621,17.24036,17.21479,17.09174,0.9693318
STAR,18.6769,17.78154,17.52458,17.42232,17.38025,0.000182587
STAR,18.12173,16.84951,16.38322,16.20272,16.10719,0.00023867
QSO,18.68765,18.61862,18.59058,18.50573,18.31973,2.093151
STAR,18.82957,17.93844,17.56125,17.39783,17.33559,0.000356511
STAR,17.56939,16.61339,16.2723,16.13031,16.0821,0.000332482
GALAXY,19.56237,17.59451,16.7141,16.29138,15.95551,0.08621725
GALAXY,19.56588,18.63518,18.09855,17.7029,17.48965,0.06744873
STAR,18.45709,17.05875,16.56312,16.35972,16.28534,0.000291299
STAR,18.0872,16.64009,16.17627,15.98626,15.92437,6.27E-05
STAR,18.20489,17.12961,16.79656,16.62952,16.57625,0.000995929
GALAXY,19.39882,18.3913,17.85607,17.46761,17.32818,0.150701
STAR,17.46669,16.36004,15.87807,15.65679,15.56303,0.000695604
STAR,17.66388,18.01819,18.96769,18.32366,16.18336,5.17E-05
STAR,17.70241,17.84848,18.15799,18.38987,18.71965,5.78E-05
GALAXY,18.53678,17.96047,17.373,17.21301,17.18247,0.03981317
STAR,19.28844,17.89368,17.29176,17.05897,16.92672,-0.000138961
STAR,17.5803,15.91818,15.3324,15.12888,15.04031,7.93E-05
STAR,17.58302,16.1223,15.61429,15.4367,15.37343,9.74E-05
GALAXY,18.97204,17.9849,17.66618,17.43481,17.32352,0.05151358
STAR,17.07819,15.49603,14.84319,14.54306,14.38931,0.000543499
STAR,19.43337,18.54425,18.21197,18.07626,17.99902,0.000586336
STAR,18.30903,17.08338,16.65224,16.48205,16.39475,0.000117847
QSO,18.2861,18.11478,18.14232,18.02426,18.03402,1.741678
STAR,16.67229,15.52946,15.16349,15.04075,15.00277,5.17E-05
STAR,18.04392,16.98619,16.67233,16.54937,16.49476,0.000264481
STAR,18.85257,17.86745,17.55789,17.43459,17.38357,-5.87E-07
STAR,16.86535,15.81168,15.47238,15.32898,15.27367,0.000274919
STAR,17.71105,16.34725,15.83003,15.60209,15.47698,-0.00045622
QSO,19.18404,19.1997,19.1041,18.78402,18.68743,2.006571
GALAXY,17.80165,16.61996,16.1181,15.85237,15.64157,0.02614697
GALAXY,18.66761,16.83642,15.95352,15.51473,15.16474,0.03804233
STAR,18.45831,17.09308,16.55146,16.36101,16.27274,0.00038865
STAR,19.45426,17.49314,16.74405,16.50129,16.34002,0.000164115
STAR,17.57672,16.30313,15.82177,15.6353,15.5685,0.000326733
GALAXY,18.41814,17.17549,16.63656,16.31784,16.1021,0.03836371
STAR,19.16261,17.45277,16.81324,16.56124,16.44654,7.82E-05
STAR,17.37496,16.06552,15.63478,15.48339,15.42321,5.26E-05
GALAXY,18.81535,16.69037,15.70883,15.31833,14.85697,0.1074627
STAR,18.02848,16.65369,16.06824,15.82721,15.70943,-3.76E-05
STAR,17.33813,15.96866,15.49672,15.33282,15.27834,-4.71E-05
GALAXY,19.48367,18.1998,17.55522,17.15322,16.93752,0.1045614
STAR,16.52364,15.40187,15.08259,14.97577,14.95088,0.000263051
STAR,16.97457,15.7859,15.32505,15.16091,15.08877,-5.70E-06
GALAXY,16.75927,15.62012,15.041,14.71669,14.44965,0.02956719
STAR,18.70255,17.71797,17.34371,17.17482,17.1185,2.47E-05
GALAXY,19.54733,18.17471,17.46927,17.09822,16.84518,0.1097059
GALAXY,19.20287,16.59277,15.70658,15.25103,14.89744,0.07221484
GALAXY,19.07784,18.06951,17.70663,17.49811,17.31405,0.03472417
STAR,19.06822,17.80601,17.33803,17.16516,17.09147,-2.66E-05
QSO,18.56313,18.53411,18.38498,18.37235,18.3623,1.257948
STAR,17.89559,16.71264,16.2921,16.1399,16.07841,7.05E-05
STAR,19.14528,18.19967,17.89295,17.78337,17.73488,-0.000276482
STAR,19.47595,18.6116,18.52926,18.76056,18.28581,-0.000385041
QSO,19.29275,19.02275,18.92752,18.85194,18.76428,1.971239
GALAXY,17.27438,16.14879,15.72019,15.48375,15.35073,0.03325611
GALAXY,18.9146,17.67455,16.96098,16.57482,16.29057,0.116515
GALAXY,16.93221,15.56652,14.92086,14.58185,14.3252,0.03717615
STAR,18.73475,17.79811,17.46425,17.34566,17.29465,0.000255278
GALAXY,19.5796,17.68983,16.74287,16.33313,16.0111,0.1092154
GALAXY,19.33625,17.34765,16.35417,15.91167,15.58279,0.1087394
STAR,18.37159,16.28451,15.44592,15.16673,15.01227,-7.05E-05
STAR,19.28787,17.52747,16.75908,16.41961,16.23461,-4.11E-06
STAR,18.44022,18.02603,17.97474,18.0135,18.12117,-5.16E-05
STAR,19.26163,17.71671,17.12826,16.89513,16.79474,-0.000233312
STAR,18.72794,17.20167,16.65129,16.43697,16.32,-0.000133688
STAR,19.24336,17.86197,17.30386,17.06635,16.94732,-0.000180286
STAR,19.57003,17.3458,16.40484,16.05693,15.8713,-0.00015097
STAR,19.49442,17.99958,17.41921,17.21484,17.10793,-0.000134868
STAR,19.03802,17.42171,16.71644,16.41698,16.23746,7.80E-05
STAR,18.75202,17.90223,17.58861,17.45896,17.41188,-0.00052212
STAR,19.43955,18.52889,18.24026,18.13412,18.05673,-0.000247798
STAR,18.7746,17.64604,17.22892,17.07624,17.01672,4.98E-05
STAR,17.98792,16.4793,15.89139,15.68964,15.57897,-9.23E-05
STAR,18.21947,16.94176,16.4855,16.34868,16.28067,9.98E-05
STAR,18.72254,17.38212,16.82234,16.65747,16.55055,-1.00E-05
STAR,17.88442,16.96119,16.64287,16.53269,16.48384,3.19E-05
STAR,18.60544,17.67091,17.41983,17.32616,17.2992,-0.000504086
STAR,17.59142,16.66143,16.42614,16.34742,16.32363,-0.000743644
GALAXY,17.00244,15.55892,14.93361,14.58515,14.32871,0.02873155
STAR,19.51547,18.58734,18.33786,18.23523,18.24343,0.000255486
GALAXY,19.25605,18.11174,17.34868,16.93481,16.68558,0.1098084
STAR,17.52671,16.10266,15.5727,15.35048,15.24569,0.000836224
STAR,18.04508,16.81564,16.39389,16.24002,16.18995,0.000249663
STAR,17.43719,16.50009,16.13932,16.01473,15.95873,0.000166582
STAR,16.26559,15.31763,15.03526,14.92372,14.86764,0.000397916
STAR,17.14242,15.63551,15.02396,14.78998,14.65014,-0.000196452
STAR,18.18575,16.91729,16.98115,17.01807,17.02806,-0.000381969
STAR,19.23104,18.20884,17.89136,17.78259,17.75736,0.000249086
STAR,19.33756,17.0609,16.05876,15.67662,15.44594,2.57E-05
STAR,18.76614,17.47334,16.93288,16.72206,16.60205,-9.47E-05
STAR,18.2921,17.17186,17.38653,17.5653,17.6834,-0.000177157
STAR,19.37555,18.27386,17.7944,17.60329,17.50417,-0.000211658
GALAXY,19.37035,17.34262,16.35286,15.924,15.58903,0.1019929
GALAXY,19.05249,17.03777,16.07633,15.63148,15.31245,0.1015328
STAR,18.20631,16.89692,16.46658,16.31574,16.28902,0.00048813
STAR,17.63113,16.55926,16.24861,16.14775,16.13221,0.000132041
STAR,15.99172,14.98865,14.70003,14.64919,14.50626,9.27E-05
STAR,19.37706,18.44093,18.24528,18.19469,18.17668,0.000452989
STAR,16.73877,15.68268,15.43654,15.38572,15.40208,0.000128369
STAR,16.37119,15.28426,15.05225,14.98734,15.0114,5.72E-05
STAR,19.52481,18.21796,17.68045,17.46177,17.37293,1.72E-05
STAR,18.6522,17.52927,17.53732,17.58253,17.67018,-0.000242254
STAR,16.63293,15.27509,14.61367,14.50841,14.27292,-5.54E-05
STAR,16.14538,15.07947,14.84144,14.77282,14.78681,0.000239212
STAR,17.84565,16.82412,16.49827,16.38742,16.35545,0.000146998
STAR,17.75484,16.59773,16.53687,16.56253,16.61154,-7.06E-06
STAR,19.3623,18.1918,17.81977,17.69313,17.61249,0.000235469
GALAXY,18.97095,17.07911,16.13754,15.65789,15.34548,0.06836422
STAR,16.48326,15.04494,15.04021,14.29518,14.18345,0.000224322
GALAXY,18.98689,17.09758,16.18773,15.7323,15.46169,0.09046602
STAR,19.42591,18.42443,18.00135,17.79079,17.70945,0.000104138
STAR,18.58476,17.2945,16.42206,16.27426,15.89856,0.000391139
STAR,19.44881,17.06147,16.09691,15.75754,15.58153,0.000127138
STAR,19.58554,17.76914,16.91808,16.55439,16.34465,9.15E-05
STAR,19.58684,17.73149,16.96642,16.67645,16.4914,0.00034609
STAR,19.42571,17.78678,17.11364,16.85967,16.67854,0.000182417
STAR,18.36269,16.79013,16.16286,15.91035,15.78032,0.000170339
STAR,19.11461,17.11108,16.35578,16.07985,15.94747,0.000258839
STAR,19.25602,17.7522,17.28004,17.11725,17.12696,0.000270987
STAR,18.68312,16.80078,16.12189,15.88605,15.78726,0.000208869
STAR,19.13375,17.84091,17.37001,17.20419,17.1407,0.000275159
STAR,19.41101,17.17151,16.17792,15.78271,15.51502,0.000391232
STAR,19.17278,17.30439,16.63581,16.43598,16.35109,-6.64E-05
GALAXY,19.29697,18.08211,17.20792,16.74347,16.43762,0.1272051
GALAXY,18.71962,17.45311,16.88231,16.54723,16.2756,0.06540032
GALAXY,19.35342,18.11187,17.45305,17.10616,16.88711,0.07115377
QSO,19.25923,18.84224,18.85939,18.69218,18.76842,0.5894275
STAR,19.57255,18.59834,18.47911,18.45792,18.60459,0.001135097
GALAXY,19.23879,17.49932,16.53521,16.09223,15.76121,0.03969949
STAR,18.67422,17.42511,16.89116,16.67803,16.57392,-0.000143192
GALAXY,18.83577,17.25845,16.54556,16.13434,15.83491,0.07050942
GALAXY,17.61482,15.69639,14.77024,14.31876,13.95353,0.0307668
QSO,19.41207,18.88776,18.56437,18.58996,18.3926,1.06284
STAR,18.99412,17.90879,17.46466,17.28111,17.20599,-0.000178635
GALAXY,19.14963,18.00378,17.4657,17.1376,16.90036,0.04402394
STAR,18.7809,19.0767,19.45117,19.74457,20.02123,0.000609734
QSO,19.15965,18.91703,18.61517,18.38544,18.42006,1.496161
STAR,17.33854,16.27237,15.90035,15.75182,15.69667,-0.000872277
GALAXY,19.38219,18.20107,17.8056,17.4992,17.41172,0.06565089
GALAXY,19.2266,17.27751,16.39126,15.95711,15.61498,0.04565
GALAXY,19.41398,17.29078,16.33702,15.87626,15.48284,0.04462435
